DATE,GDPPOT
1949-01-01,2254.9
1949-04-01,2287.5
1949-07-01,2321.2
1949-10-01,2352.8
1950-01-01,2380.5
1950-04-01,2412.4
1950-07-01,2443.5
1950-10-01,2475.4
1951-01-01,2507.4
1951-04-01,2539.3
1951-07-01,2572.9
1951-10-01,2608.8
1952-01-01,2646.6
1952-04-01,2687.7
1952-07-01,2727.2
1952-10-01,2764.7
1953-01-01,2797.7
1953-04-01,2826.6
1953-07-01,2851.2
1953-10-01,2872.2
1954-01-01,2891.6
1954-04-01,2909.4
1954-07-01,2926.5
1954-10-01,2944.4
1955-01-01,2962.0
1955-04-01,2981.1
1955-07-01,2999.8
1955-10-01,3019.2
1956-01-01,3038.6
1956-04-01,3057.4
1956-07-01,3077.1
1956-10-01,3098.2
1957-01-01,3121.5
1957-04-01,3146.9
1957-07-01,3174.0
1957-10-01,3202.3
1958-01-01,3230.5
1958-04-01,3259.1
1958-07-01,3288.0
1958-10-01,3318.5
1959-01-01,3350.1
1959-04-01,3383.8
1959-07-01,3419.8
1959-10-01,3456.3
1960-01-01,3493.3
1960-04-01,3529.4
1960-07-01,3564.9
1960-10-01,3599.1
1961-01-01,3632.7
1961-04-01,3664.4
1961-07-01,3697.1
1961-10-01,3730.9
1962-01-01,3767.2
1962-04-01,3806.6
1962-07-01,3848.4
1962-10-01,3891.4
1963-01-01,3934.3
1963-04-01,3976.9
1963-07-01,4019.4
1963-10-01,4062.3
1964-01-01,4105.4
1964-04-01,4150.1
1964-07-01,4195.7
1964-10-01,4241.6
1965-01-01,4288.6
1965-04-01,4334.5
1965-07-01,4381.9
1965-10-01,4429.4
1966-01-01,4477.4
1966-04-01,4525.8
1966-07-01,4575.0
1966-10-01,4624.4
1967-01-01,4675.7
1967-04-01,4728.6
1967-07-01,4782.6
1967-10-01,4838.1
1968-01-01,4893.5
1968-04-01,4948.3
1968-07-01,5003.5
1968-10-01,5058.9
1969-01-01,5112.7
1969-04-01,5164.7
1969-07-01,5213.2
1969-10-01,5260.6
1970-01-01,5306.0
1970-04-01,5349.1
1970-07-01,5391.1
1970-10-01,5432.9
1971-01-01,5476.1
1971-04-01,5522.1
1971-07-01,5569.5
1971-10-01,5617.2
1972-01-01,5663.7
1972-04-01,5708.1
1972-07-01,5751.4
1972-10-01,5794.8
1973-01-01,5839.5
1973-04-01,5887.3
1973-07-01,5936.7
1973-10-01,5987.8
1974-01-01,6039.6
1974-04-01,6091.8
1974-07-01,6143.2
1974-10-01,6194.0
1975-01-01,6243.7
1975-04-01,6292.8
1975-07-01,6341.6
1975-10-01,6390.2
1976-01-01,6438.2
1976-04-01,6486.3
1976-07-01,6535.4
1976-10-01,6585.2
1977-01-01,6637.0
1977-04-01,6690.5
1977-07-01,6745.2
1977-10-01,6801.6
1978-01-01,6859.4
1978-04-01,6918.2
1978-07-01,6978.6
1978-10-01,7040.2
1979-01-01,7104.0
1979-04-01,7165.9
1979-07-01,7224.3
1979-10-01,7278.1
1980-01-01,7326.4
1980-04-01,7368.0
1980-07-01,7403.1
1980-10-01,7440.2
1981-01-01,7464.0
1981-04-01,7511.0
1981-07-01,7561.3
1981-10-01,7614.9
1982-01-01,7670.9
1982-04-01,7728.7
1982-07-01,7788.1
1982-10-01,7848.9
1983-01-01,7909.5
1983-04-01,7971.6
1983-07-01,8035.4
1983-10-01,8101.8
1984-01-01,8170.8
1984-04-01,8242.5
1984-07-01,8315.8
1984-10-01,8390.4
1985-01-01,8465.3
1985-04-01,8540.4
1985-07-01,8615.3
1985-10-01,8689.7
1986-01-01,8763.2
1986-04-01,8835.9
1986-07-01,8908.2
1986-10-01,8980.8
1987-01-01,9053.3
1987-04-01,9125.6
1987-07-01,9197.8
1987-10-01,9270.5
1988-01-01,9343.1
1988-04-01,9416.3
1988-07-01,9489.7
1988-10-01,9563.6
1989-01-01,9637.7
1989-04-01,9711.9
1989-07-01,9786.1
1989-10-01,9860.0
1990-01-01,9933.2
1990-04-01,10005.2
1990-07-01,10075.4
1990-10-01,10143.6
1991-01-01,10210.3
1991-04-01,10275.4
1991-07-01,10339.4
1991-10-01,10403.4
1992-01-01,10467.5
1992-04-01,10532.4
1992-07-01,10598.6
1992-10-01,10665.8
1993-01-01,10734.0
1993-04-01,10804.0
1993-07-01,10875.2
1993-10-01,10947.4
1994-01-01,11020.7
1994-04-01,11094.9
1994-07-01,11170.7
1994-10-01,11247.9
1995-01-01,11325.9
1995-04-01,11405.4
1995-07-01,11485.9
1995-10-01,11568.5
1996-01-01,11652.9
1996-04-01,11742.6
1996-07-01,11838.8
1996-10-01,11941.3
1997-01-01,12049.8
1997-04-01,12163.6
1997-07-01,12282.9
1997-10-01,12406.6
1998-01-01,12534.0
1998-04-01,12665.4
1998-07-01,12799.2
1998-10-01,12935.6
1999-01-01,13074.8
1999-04-01,13215.7
1999-07-01,13358.5
1999-10-01,13503.5
2000-01-01,13650.0
2000-04-01,13792.7
2000-07-01,13929.5
2000-10-01,14059.4
2001-01-01,14182.4
2001-04-01,14298.5
2001-07-01,14407.7
2001-10-01,14510.9
2002-01-01,14608.7
2002-04-01,14702.9
2002-07-01,14795.1
2002-10-01,14886.2
2003-01-01,14977.2
2003-04-01,15069.0
2003-07-01,15161.0
2003-10-01,15254.3
2004-01-01,15349.4
2004-04-01,15445.8
2004-07-01,15544.1
2004-10-01,15643.4
2005-01-01,15740.4
2005-04-01,15834.0
2005-07-01,15925.5
2005-10-01,16014.2
2006-01-01,16099.6
2006-04-01,16182.6
2006-07-01,16261.6
2006-10-01,16336.4
2007-01-01,16413.1
2007-04-01,16492.8
2007-07-01,16575.4
2007-10-01,16658.3
2008-01-01,16741.8
2008-04-01,16824.0
