Country,Year,GDP,CPI,UNRATE,LFPART
BEL,1955,,13.2,,
BEL,1956,,13.5,,
BEL,1957,,14.0,,
BEL,1958,,14.1,,
BEL,1959,,14.3,,
BEL,1960,17678.8,14.4,,
BEL,1961,18748.7,14.5,,
BEL,1962,19961.3,14.7,,
BEL,1963,21111.2,15.0,,
BEL,1964,22982.4,15.6,,
BEL,1965,24305.3,16.3,,
BEL,1966,25784.0,17.0,,
BEL,1967,27554.2,17.4,,
BEL,1968,29870.4,17.9,,
BEL,1969,33377.4,18.6,,
BEL,1970,37284.0,19.3,,
BEL,1971,40644.2,20.1,,
BEL,1972,44629.6,21.2,,
BEL,1973,49957.4,22.7,,
BEL,1974,56739.7,25.6,,
BEL,1975,61172.6,28.8,,
BEL,1976,68187.4,31.5,,
BEL,1977,72877.6,33.7,,
BEL,1978,80220.5,35.2,,
BEL,1979,88909.9,36.8,,
BEL,1980,101283.2,39.2,,
BEL,1981,110557.1,42.2,,
BEL,1982,118086.0,45.9,,
BEL,1983,123093.9,49.4,,
BEL,1984,130680.2,52.5,,
BEL,1985,137038.6,55.1,,
BEL,1986,142346.7,55.8,,
BEL,1987,149232.5,56.7,,
BEL,1988,161793.7,57.3,,
BEL,1989,173969.6,59.1,7.5,65.0
BEL,1990,186143.1,61.2,,
BEL,1991,195966.8,63.1,7.2,66.8
BEL,1992,203500.6,64.7,7.8,68.0
BEL,1993,206319.3,66.4,,
BEL,1994,217525.2,68.0,8.3,68.2
BEL,1995,227383.7,69.0,8.5,69.3
BEL,1996,230929.1,70.5,,
BEL,1997,241579.4,71.6,,
BEL,1998,248634.4,72.3,,
BEL,1999,260168.8,73.1,,
BEL,2000,284862.7,75.0,5.9,71.9
BEL,2001,296218.1,76.8,5.5,70.6
BEL,2002,312900.5,78.1,6.4,71.4
BEL,2003,320981.3,79.3,6.8,71.7
BEL,2004,334143.4,81.0,7.1,72.8
BEL,2005,347658.4,83.2,7.1,73.9
BEL,2006,371910.3,84.7,7.0,73.7
BEL,2007,391021.0,86.3,6.3,74.5
BEL,2008,405729.5,90.1,5.9,74.7
BEL,2009,409035.1,90.1,6.6,74.7
BEL,2010,434128.1,92.1,7.0,75.6
BEL,2011,455271.4,95.3,6.1,74.5
BEL,2012,471861.3,98.0,6.5,74.9
BEL,2013,489497.6,99.1,7.1,75.7
BEL,2014,506062.7,99.4,7.3,76.1
BEL,2015,519562.9,100.0,7.4,75.9
BEL,2016,548605.6,102.0,6.9,76.2
BEL,2017,571670.5,104.1,6.2,76.6
BEL,2018,599540.5,106.3,5.2,77.0
BEL,2019,651568.3,107.8,4.6,77.2
BEL,2020,647547.4,108.6,4.8,77.2
BEL,2021,702257.3,111.3,5.3,78.2
BEL,2022,795193.4,121.9,4.7,79.1
BEL,2023,812086.8,126.9,4.7,79.1
BEL,2024,,130.9,,
DEU,1955,,21.0,,
DEU,1956,,21.5,,
DEU,1957,,22.0,,
DEU,1958,,22.4,,
DEU,1959,,22.6,,
DEU,1960,152731.9,23.0,,
DEU,1961,165207.1,23.5,,
DEU,1962,175391.1,24.2,,
DEU,1963,182783.5,24.9,,
DEU,1964,197694.1,25.5,,
DEU,1965,212069.5,26.3,,
DEU,1966,224361.1,27.2,,
DEU,1967,229983.4,27.7,,
DEU,1968,252334.3,28.1,,
DEU,1969,284404.8,28.7,,
DEU,1970,315284.1,29.7,,
DEU,1971,341643.9,31.2,,
DEU,1972,371739.3,32.9,,
DEU,1973,410843.2,35.3,,
DEU,1974,451799.5,37.7,,
DEU,1975,489369.3,39.9,,
DEU,1976,541854.3,41.6,,
DEU,1977,594785.7,43.2,,
DEU,1978,655774.6,44.4,,
DEU,1979,739656.4,46.2,,
DEU,1980,817831.9,48.7,,
DEU,1981,899954.2,51.8,,
DEU,1982,951782.9,54.5,,
DEU,1983,1004614.3,56.3,,
DEU,1984,1070240.7,57.6,,
DEU,1985,1129788.9,58.8,,
DEU,1986,1178904.3,58.7,,
DEU,1987,1224995.1,58.9,,
DEU,1988,1315221.2,59.6,,
DEU,1989,1420039.9,61.3,7.3,70.9
DEU,1990,1550613.2,62.9,,
