id,age,year,female,married,educ,empl,income,rent,equity,finassets,liqassets,houses,business,vehicles,assets,mortages,debt,networth,owner,weight
1,40,1989,0,1,2,1,103424.3,0,0,41500.5,27667,172918.9,0,32278.18757,267447.8,23055.8,32969.9,234478,1,20314.13
2,27,1989,0,1,2,1,88993,0,9222.3,14064.1,4380.6,207502.6,0,14248.51423,235815.2,172918.9,174302.2,61513,1,54927.08
3,22,1989,1,0,2,4,12026.1,46.11169652,0,0,0,0,0,0,0,0,622.5,-622.5,0,30756.38
4,64,1989,0,1,2,3,144313,0,96834.6,357365.6,46111.7,184446.8,0,46111.69652,587924.1,0,0,587924.1,1,15153.64
5,38,1989,1,0,1,3,21647,276.6701791,0,322.8,0,0,0,2305.584826,2628.4,0,1936.7,691.7,0,20074.63
6,79,1989,0,0,1,3,31267.8,0,0,9222.3,9222.3,131418.3,0,0,140640.7,76084.3,78159.3,62481.3,1,59286.1
7,89,1989,0,1,3,3,1322869.2,0,5763962.1,10647190.7,368893.6,461117,0,16139.09378,11124446.8,0,0,11124446.8,1,7515.584
8,62,1989,1,0,1,3,21647,184.4467861,0,0,0,0,0,0,0,0,1475.6,-1475.6,0,42854
9,63,1989,1,0,1,4,9620.9,230.5584826,0,0,0,0,0,0,0,0,0,0,0,47453.04
10,40,1989,0,1,3,1,45699.1,645.5637513,0,691.7,691.7,0,0,0,691.7,0,368.9,322.8,0,48866.97
11,42,1989,0,1,2,1,57725.2,0,0,3066.4,3066.4,92223.4,0,9222.339305,104512.2,83001.1,96834.6,7677.6,1,51810.86
12,32,1989,0,1,1,3,48104.3,207.5026344,0,0,0,6916.8,0,11527.92413,18444.7,0,17683.8,760.8,1,51953.87
13,61,1989,0,1,1,1,57725.2,0,0,19712.8,4726.4,57639.6,0,11527.92413,88880.3,0,9222.3,79658,1,37584.61
14,26,1989,0,1,1,1,76966.9,691.6754478,0,16141.4,9224.6,0,0,22594.7313,38736.1,0,14018,24718.2,0,43258.83
15,65,1989,1,0,1,1,36078.3,0,23055.8,23286.4,230.6,80695.5,0,13833.50896,117815.4,10444.3,28082,89733.4,1,21549.07
16,76,1989,1,0,1,3,16836.5,0,0,2305.6,2305.6,20750.3,0,2305.584826,25361.4,0,0,25361.4,1,37391.7
17,34,1989,0,1,2,1,84182.6,806.9546891,553.3,1109,2.3,0,0,13833.50896,14942.5,0,3896.4,11046.1,0,28845.2
18,33,1989,0,1,4,1,108234.8,0,4611.2,39194.9,32278.2,288198.1,0,23055.84826,350448.9,214419.4,242086.4,108362.5,1,48812.66
19,29,1989,0,0,4,1,158744.3,207.5026344,0,17407.2,5879.2,6916.8,0,31817.0706,102252.7,0,20750.3,81502.4,1,49062.6
20,51,1989,0,1,2,1,117855.6,0,3458.4,9499,2582.3,115279.2,0,66861.95996,208932.1,18444.7,132824.7,76107.4,1,35225.41
21,45,1989,0,1,1,1,72156.5,69.16754478,0,16139.1,16139.1,9222.3,0,6801.475237,32162.9,0,0,32162.9,1,27789.24
22,52,1989,0,0,2,1,43293.9,0,0,1544.7,968.3,46111.7,0,6455.637513,54112.1,0,0,54112.1,1,41012.37
23,42,1989,0,1,4,1,62535.6,0,63403.6,134876.7,11527.9,154474.2,0,57639.62065,346990.5,0,16139.1,330851.4,1,34772.05
24,31,1989,0,1,2,1,101019.1,115.2792413,0,9383.7,2467,0,0,13833.50896,23217.2,0,25361.4,-2144.2,0,22256.49
25,34,1989,0,1,3,2,173175.6,0,0,20450.5,11804.6,207502.6,949900.9,27667.01791,1258549.6,78389.9,78389.9,1180159.7,1,28920.16
26,39,1989,1,0,2,1,76966.9,1152.792413,0,922.2,922.2,0,0,4611.169652,5533.4,0,6801.5,-1268.1,0,44888.95
27,66,1989,0,1,2,3,55320,0,18444.7,167846.6,9914,299726,0,16139.09378,483711.7,0,184.4,483527.2,1,31647.04
28,35,1989,1,0,2,1,43293.9,0,0,33431,5764,11527.9,0,18444.67861,63403.6,0,8530.7,54872.9,1,19797.45
29,85,1989,1,0,1,3,12026.1,138.3350896,0,1752.2,922.2,0,0,0,1752.2,0,322.8,1429.5,0,30926.37
30,80,1989,0,1,3,2,48104.3,0,0,214419.4,39194.9,152260.8,433357.7,16139.09378,816177,0,0,816177,1,17853.68
31,40,1989,0,1,4,1,120260.8,0,0,105595.8,11066.8,28819.8,324395.8,29972.60274,488784,25822.6,65017.5,423766.5,1,17138.02
32,53,1989,0,1,3,1,74561.7,0,2305.6,4495.9,2190.3,0,0,6916.754478,11412.6,0,1268.1,10144.6,0,34861.07
33,54,1989,0,1,2,1,129881.7,0,55334,82655.2,18098.8,219030.6,0,23055.84826,324741.6,62250.8,64556.4,260185.2,1,30568.4
34,62,1989,1,0,2,4,24052.2,0,0,23.1,23.1,41500.5,0,0,64867.6,0,4057.8,60809.8,1,25019.26
35,78,1989,1,0,1,1,4810.4,184.4467861,0,3804.2,2882,0,0,0,3804.2,0,46.1,3758.1,0,29119.62
36,42,1989,1,0,1,3,21647,230.5584826,0,0,0,0,0,0,0,0,23.1,-23.1,0,31771.49
37,75,1989,1,0,4,3,192417.3,0,89917.8,101445.7,11527.9,691675.4,0,76084.29926,2087245.9,302031.6,318170.7,1769075.2,1,23194.66
38,48,1989,0,1,4,1,132286.9,0,0,4034.8,3458.4,288198.1,0,9222.339305,301455.2,221336.1,223895.3,77559.9,1,36721.45
39,18,1989,1,0,2,1,9620.9,161.3909378,0,461.1,0,0,0,0,461.1,0,0,461.1,0,34194.88
40,62,1989,0,1,1,3,98613.9,0,0,3066.4,760.8,78389.9,456505.8,6686.195996,544648.3,9222.3,11527.9,533120.4,1,29355.47
41,72,1989,1,0,4,3,64940.9,345.8377239,0,120121,11758.5,57639.6,0,9222.339305,422152.6,0,0,422152.6,1,41740.26
42,28,1989,0,1,3,1,36078.3,1729.18862,46111.7,77698.2,30433.7,0,0,18444.67861,188366.3,0,9222.3,179143.9,0,66421.44
43,59,1989,0,0,4,3,48104.3,0,0,27667,4611.2,368893.6,0,18444.67861,458811.4,94529,95797,363014.3,1,32710.84
44,62,1989,0,1,1,1,192417.3,0,16139.1,352754.5,107670.8,504923.1,2305.6,29972.60274,975262.4,0,0,975262.4,1,33546.73
45,67,1989,0,1,1,3,24052.2,0,0,4934,322.8,334309.8,0,25361.43309,364605.2,36889.4,39194.9,325410.2,1,42795.03
46,85,1989,1,0,1,3,14431.3,0,0,1152.8,1152.8,6916.8,0,0,8069.5,0,0,8069.5,1,29209.28
47,43,1989,0,1,2,1,134692.1,0,0,10123.8,5397.4,115279.2,0,62250.79031,187653.9,85306.6,131418.3,56235.5,1,25039.62
48,28,1989,0,1,4,1,96208.7,0,1844.5,26099.2,11574,122196,0,13833.50896,162128.7,112973.7,147557.4,14571.3,1,55118.3
49,50,1989,0,1,2,1,137097.4,0,0,31540.4,3181.7,230558.5,0,89687.24974,351786.1,48417.3,114172.6,237613.6,1,34627.98
50,64,1989,1,0,4,3,60130.4,0,28819.8,159085.4,39194.9,219030.6,0,18444.67861,396560.6,0,0,396560.6,1,42767.26
51,44,1989,0,1,2,2,141907.8,0,11527.9,37696.3,6916.8,184446.8,0,4957.007376,257072.7,133723.9,135798.9,121273.8,1,54233.41
